k_time,flow_id,source_sensor,path_to_car,rate_mbps
3,210,"(3, 11)","[(3, 11), (3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",5
3,213,"(3, 12)","[(3, 12), (2, 12), (1, 12), (1, 13), (1, 14), (1, 15)] -> Car-1",1.0386627572987572
3,216,"(3, 13)","[(3, 13), (2, 13), (1, 13), (1, 14), (1, 15), (1, 16)] -> Car-1",5
3,219,"(3, 14)","[(3, 14), (2, 14), (1, 14), (1, 15), (1, 16)] -> Car-1",3.9613372427012425
3,228,"(3, 17)","[(3, 17), (3, 16)] -> Car-1",3.2835516421643156
3,231,"(3, 18)","[(3, 18), (3, 17), (3, 16)] -> Car-1",3.432896715671369
3,234,"(3, 19)","[(3, 19), (2, 19), (1, 19), (1, 18), (1, 17), (1, 16)] -> Car-1",5
3,237,"(3, 20)","[(3, 20), (3, 21), (3, 22), (3, 23), (3, 24), (3, 25)] -> Car-2",5
3,240,"(3, 21)","[(3, 21), (3, 22), (3, 23), (3, 24), (3, 25)] -> Car-2",5
3,243,"(3, 22)","[(3, 22), (2, 22), (1, 22), (1, 23), (1, 24), (1, 25)] -> Car-2",5
3,246,"(3, 23)","[(3, 23), (2, 23), (1, 23), (1, 24), (1, 25)] -> Car-2",5
3,249,"(3, 24)","[(3, 24), (2, 24), (2, 25)] -> Car-2",1.6071573443544604
3,258,"(3, 27)","[(3, 27), (3, 26)] -> Car-2",5
3,261,"(3, 28)","[(3, 28), (3, 27), (3, 26)] -> Car-2",5
3,264,"(3, 29)","[(3, 29), (2, 29), (1, 29), (1, 28), (1, 27), (1, 26)] -> Car-2",5
3,267,"(3, 30)","[(3, 30), (2, 30), (1, 30), (1, 29), (1, 28), (1, 27), (1, 26)] -> Car-2",5
3,288,"(4, 7)","[(4, 7), (3, 7), (2, 7), (1, 7), (1, 6)] -> Car-0",5
3,291,"(4, 8)","[(4, 8), (3, 8), (2, 8), (2, 7), (2, 6)] -> Car-0",2.5282230959782517
3,294,"(4, 9)","[(4, 9), (3, 9), (3, 8), (3, 7), (3, 6)] -> Car-0",2.47177690402175
3,318,"(4, 17)","[(4, 17), (3, 17), (2, 17), (1, 17), (1, 16)] -> Car-1",5
3,321,"(4, 18)","[(4, 18), (3, 18), (2, 18), (2, 17), (2, 16)] -> Car-1",4.748731230624802
3,324,"(4, 19)","[(4, 19), (3, 19), (3, 18), (3, 17), (3, 16)] -> Car-1",3.2835516421643156
3,348,"(4, 27)","[(4, 27), (3, 27), (2, 27), (2, 26)] -> Car-2",1.5730222012949397
3,372,"(5, 5)","[(5, 5), (4, 5), (3, 5)] -> Car-0",5
3,375,"(5, 6)","[(5, 6), (4, 6), (3, 6), (3, 5)] -> Car-0",5
3,402,"(5, 15)","[(5, 15), (4, 15), (3, 15)] -> Car-1",5
3,405,"(5, 16)","[(5, 16), (4, 16), (3, 16)] -> Car-1",5
3,432,"(5, 25)","[(5, 25), (4, 25), (3, 25)] -> Car-2",5
3,435,"(5, 26)","[(5, 26), (4, 26), (3, 26)] -> Car-2",5
3,462,"(6, 5)","[(6, 5), (5, 5), (4, 5), (3, 5)] -> Car-0",5
3,465,"(6, 6)","[(6, 6), (5, 6), (4, 6), (3, 6), (3, 5)] -> Car-0",5
3,492,"(6, 15)","[(6, 15), (5, 15), (4, 15), (3, 15)] -> Car-1",5
3,495,"(6, 16)","[(6, 16), (5, 16), (4, 16), (3, 16)] -> Car-1",5
3,522,"(6, 25)","[(6, 25), (5, 25), (4, 25), (3, 25)] -> Car-2",5
3,525,"(6, 26)","[(6, 26), (5, 26), (4, 26), (3, 26)] -> Car-2",5
4,213,"(3, 12)","[(3, 12), (3, 13), (3, 14), (3, 15)] -> Car-1",3.9613372427012425
4,216,"(3, 13)","[(3, 13), (3, 14), (3, 15)] -> Car-1",5
4,219,"(3, 14)","[(3, 14), (2, 14), (2, 15)] -> Car-1",5
4,243,"(3, 22)","[(3, 22), (3, 23), (3, 24), (3, 25)] -> Car-2",4.639440217143578
4,246,"(3, 23)","[(3, 23), (3, 24), (3, 25)] -> Car-2",5
4,249,"(3, 24)","[(3, 24), (2, 24), (2, 25)] -> Car-2",5
4,267,"(3, 30)","[(3, 30), (3, 29), (3, 28), (3, 27), (3, 26)] -> Car-2",1.5730222012949397
4,270,"(4, 1)","[(4, 1), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
4,273,"(4, 2)","[(4, 2), (3, 2), (3, 3), (3, 4), (3, 5)] -> Car-0",5
4,276,"(4, 3)","[(4, 3), (3, 3), (2, 3), (2, 4), (2, 5)] -> Car-0",5
4,279,"(4, 4)","[(4, 4), (3, 4), (2, 4), (2, 5)] -> Car-0",5
4,291,"(4, 8)","[(4, 8), (3, 8), (3, 7), (3, 6), (3, 5)] -> Car-0",5
4,294,"(4, 9)","[(4, 9), (3, 9), (3, 8), (3, 7), (3, 6), (3, 5)] -> Car-0",5
4,297,"(4, 10)","[(4, 10), (3, 10), (2, 10), (2, 9), (2, 8), (2, 7), (2, 6)] -> Car-0",5
4,300,"(4, 11)","[(4, 11), (3, 11), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15)] -> Car-1",5
4,303,"(4, 12)","[(4, 12), (3, 12), (2, 12), (1, 12), (1, 13), (1, 14), (1, 15)] -> Car-1",5
4,306,"(4, 13)","[(4, 13), (3, 13), (2, 13), (1, 13), (1, 14), (1, 15)] -> Car-1",5
4,309,"(4, 14)","[(4, 14), (3, 14), (3, 15)] -> Car-1",1.0386627572987575
4,321,"(4, 18)","[(4, 18), (3, 18), (3, 17), (3, 16)] -> Car-1",5
4,324,"(4, 19)","[(4, 19), (3, 19), (3, 18), (3, 17), (3, 16)] -> Car-1",5
4,327,"(4, 20)","[(4, 20), (3, 20), (2, 20), (2, 19), (2, 18), (2, 17), (2, 16)] -> Car-1",5
4,330,"(4, 21)","[(4, 21), (3, 21), (2, 21), (2, 22), (2, 23), (2, 24), (2, 25)] -> Car-2",5
4,333,"(4, 22)","[(4, 22), (3, 22), (2, 22), (1, 22), (1, 23), (1, 24), (1, 25)] -> Car-2",5
4,336,"(4, 23)","[(4, 23), (3, 23), (2, 23), (1, 23), (1, 24), (1, 25)] -> Car-2",5
4,339,"(4, 24)","[(4, 24), (3, 24), (3, 25)] -> Car-2",0.36055978285642176
4,348,"(4, 27)","[(4, 27), (3, 27), (3, 26)] -> Car-2",5
4,351,"(4, 28)","[(4, 28), (3, 28), (2, 28), (2, 27), (2, 26)] -> Car-2",5
4,354,"(4, 29)","[(4, 29), (3, 29), (2, 29), (2, 28), (2, 27), (2, 26)] -> Car-2",5
4,357,"(4, 30)","[(4, 30), (3, 30), (2, 30), (1, 30), (1, 29), (1, 28), (1, 27), (1, 26)] -> Car-2",5
4,360,"(5, 1)","[(5, 1), (4, 1), (3, 1), (2, 1), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)] -> Car-0",5
4,363,"(5, 2)","[(5, 2), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)] -> Car-0",5
4,378,"(5, 7)","[(5, 7), (4, 7), (3, 7), (2, 7), (2, 6)] -> Car-0",5
4,381,"(5, 8)","[(5, 8), (4, 8), (3, 8), (2, 8), (1, 8), (1, 7), (1, 6)] -> Car-0",5
4,384,"(5, 9)","[(5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 8), (1, 7), (1, 6)] -> Car-0",5
4,408,"(5, 17)","[(5, 17), (4, 17), (3, 17), (2, 17), (2, 16)] -> Car-1",5
4,411,"(5, 18)","[(5, 18), (4, 18), (3, 18), (2, 18), (1, 18), (1, 17), (1, 16)] -> Car-1",5
